chr_end	pos	element	our_id	our_size	our_group_n	curated_variant	curated_family	curated_size	curated_group_n	size_class_agrees	inherited_variant_preclustering	inherited_matches_curated	verdict
chr2L	1	chr2L_Y_Prime_1	ID4	Short	2	ID4_Green-Light	ID4	Short	2	True	ID4_Green-Light	True	concordant
chr4R	1	chr4R_Y_Prime_1	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr4R	2	chr4R_Y_Prime_2	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr4R	3	chr4R_Y_Prime_3	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr4R	4	chr4R_Y_Prime_4	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr4R	5	chr4R_Y_Prime_5	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr4R	6	chr4R_Y_Prime_6	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr4R	7	chr4R_Y_Prime_7	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr5L	1	chr5L_Y_Prime_1	ID8	Long	1	ID6_Purple-Light	ID6	Long	1	True	ID6_Purple-Light	True	concordant
chr5R	1	chr5R_Y_Prime_1	ID1	Long	19	ID1_Gray	ID1	Long	7	True	ID1_Gray	True	CONFLICT
chr6L	1	chr6L_Y_Prime_1	ID4	Short	2	ID4_Green-Light	ID4	Short	2	True	ID4_Green-Light	True	concordant
chr7R	1	chr7R_Y_Prime_1	ID1	Long	19	ID5_Blue-Dark	ID5	Long	2	True	ID5_Blue-Dark	True	split_in_curated
chr8L	1	chr8L_Y_Prime_1	ID2	Short	7	ID1_Gray	ID1	Short	7	True	ID1_Gray	True	CONFLICT
chr8R	1	chr8R_Y_Prime_1	ID2	Short	7	ID1_Gray	ID1	Short	7	True	ID1_Gray	True	CONFLICT
chr9L	1	chr9L_Y_Prime_1	ID3	Long	2	ID6_Purple-Dark	ID6	Long	2	True	ID6_Purple-Dark	True	concordant
chr10L	1	chr10L_Y_Prime_1	ID3	Long	2	ID6_Purple-Dark	ID6	Long	2	True	ID6_Purple-Dark	True	concordant
chr12L	1	chr12L_Y_Prime_1	ID2	Short	7	ID1_Gray	ID1	Short	7	True	ID1_Gray	True	CONFLICT
chr12R	1	chr12R_Y_Prime_1	ID5	Long	1	ID1_Gray	ID1	Long	7	True	ID1_Gray	True	merged_in_curated
chr12R	2	chr12R_Y_Prime_2	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr12R	3	chr12R_Y_Prime_3	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr12R	4	chr12R_Y_Prime_4	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr12R	5	chr12R_Y_Prime_5	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr12R	6	chr12R_Y_Prime_6	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr12R	7	chr12R_Y_Prime_7	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr13L	1	chr13L_Y_Prime_1	ID2	Short	7	ID1_Gray	ID1	Short	7	True	ID1_Gray	True	CONFLICT
chr14L	1	chr14L_Y_Prime_1	ID1	Long	19	ID5_Blue-Light	ID5	Long	1	True	ID5_Blue-Light	True	split_in_curated
chr14L	2	chr14L_Y_Prime_2	ID1	Long	19	ID2_Red-Light	ID2	Long	14	True	ID2_Red-Light	True	split_in_curated
chr14L	3	chr14L_Y_Prime_3	ID2	Short	7	ID3_Orange	ID3	Short	3	True	ID3_Orange	True	split_in_curated
chr14L	4	chr14L_Y_Prime_4	ID2	Short	7	ID3_Orange	ID3	Short	3	True	ID3_Orange	True	split_in_curated
chr14L	5	chr14L_Y_Prime_5	ID2	Short	7	ID3_Orange	ID3	Short	3	True	ID3_Orange	True	split_in_curated
chr14R	1	chr14R_Y_Prime_1	ID6	Long	1	ID6_Purple-Neutral	ID6	Long	1	True	ID6_Purple-Neutral	True	concordant
chr15R	1	chr15R_Y_Prime_1	ID1	Long	19	ID2_Red-Dark	ID2	Long	1	True	ID2_Red-Dark	True	split_in_curated
chr16L	1	chr16L_Y_Prime_1	ID1	Long	19	ID5_Blue-Dark	ID5	Long	2	True	ID5_Blue-Dark	True	split_in_curated
chr16R	1	chr16R_Y_Prime_1	ID7	Short	1	ID1_Gray	ID1	Short	7	True	ID1_Gray	True	merged_in_curated
