sample	read_id	chr_end	true_element	matched_element	verdict	pattern
6991_day0	SRR33298461.57209	chr10L	E-chr10L-1	E-chr7R-1	RECOMBINANT	.BBBBBB-B-BBBB-------AA------AAAAAAAAA---AA..
6991_day0	SRR33298461.44252	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.------B---ABB-B------------AA----AAA-.
6991_day0	SRR33298461.168936	chr14L	E-chr14L-5	E-chr4R-6	unresolved	..................................................................................................................................-......-...............B......B......-...-
6991_day0	SRR33298461.181020	chr6L	E-chr6L-1	E-chr13L-1	RECOMBINANT	.BBB----BB--BB--------.--------AAAA-.
6991_day0_TeloTag_with_selection	SRR33298434.76895	chr13L	E-chr13L-1	E-chr15R-1	single	.B-BB-------------------BBBBBBBBBBB---------.
6991_day0_TeloTag_with_selection	SRR33298434.530414	chr14L	E-chr14L-1	E-chr12R-1	mixed	.A-BB------AA------------..A-A--AAAAA..A-B-------AA-----------...A----A-AA...-BB-------AA-----------..AA----AAAA..A-BB------AA-----------------AA--AA----A-AA...-AA---AA-AA-----------------AA.AAAAA-AAAAA.
6991_day0_TeloTag_with_selection	SRR33298434.79614	chr16L	E-chr16L-1	E-chr12R-1	unresolved	............................................
6991_day0_TeloTag_with_selection	SRR33298434.378016	chr16R	E-chr16R-1	E-chr14L-5	RECOMBINANT	.-AA------BBB------------------AAA.
6991_day0_TeloTag_with_selection	SRR33298434.64148	chr16R	E-chr16R-1	E-chr14L-3	RECOMBINANT	.AAA-------------------BB------AA-.
6991_day0_TeloTag_with_selection	SRR33298434.94939	chr2L	E-chr2L-1	E-chr16L-1	RECOMBINANT	.BBB----B--BBB----------BBBBBBBBBB----AAAA-..
6991_day0_TeloTag_with_selection	SRR33298434.226995	chr5L	E-chr5L-1	E-chr12R-1	RECOMBINANT	.A--BB------BBB---AA-------A--------A----A.
6991_day0_TeloTag_with_selection	SRR33298434.116145	chr5L	E-chr5L-1	E-chr12R-1	unresolved	...........................................
6991_day0_TeloTag_with_selection	SRR33298434.164214	chr7R	E-chr7R-1	E-chr14R-1	RECOMBINANT	.BBBBB---B-BBBB-B--B-AA-A---AAAAAAAAA-A---AA.
6991_day0_TeloTag_with_selection	SRR33298434.497585	chr8L	E-chr8L-1	E-chr2L-1	RECOMBINANT	.-AA-------BBBAAAA------A----A----AA
6991_day0_TeloTag_with_selection	SRR33298434.515556	chr8R	E-chr8R-1	E-chr14R-1	unresolved	.............................................
6991_day0_reference_promethion	SRR33298377.260642	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB--------------B--BBB--.
6991_day0_reference_promethion	SRR33298377.267122	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.BBB----BB--BBBB--B-----------BB----AAA-.
6991_day0_reference_promethion	SRR33298377.272313	chr13L	E-chr13L-1	E-chr6L-1	single	.--BBB--B---------------BBBBB---B-----B-
6991_day0_reference_promethion	SRR33298377.125819	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---BB--B-B------B-BBBBBB-BBB---BBB
6991_day0_reference_promethion	SRR33298377.726683	chr14R	E-chr14R-1	E-chr9L-1	unresolved	.............................................
