read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298449.405610	chr10L	ID6,ID2,ID2,ID2	ID2,ID2,ID2	chr12R|chr4R:ID2,ID2,ID2	unresolved	chr12R	0.33
SRR33298449.248536	chr10R	ID5,ID2,ID3,ID3,ID3,ID3	ID5,ID2,ID3,ID3,ID3,ID3	chr14L|chr16L|chr7R:ID5 > chr14L[2-5]:ID2,ID3,ID3,ID3 > chr14L[3]:ID3	unique donor by IDs	chr14L	0.66
SRR33298449.327615	chr10R	ID7,ID2,ID7,ID2,ID7	ID7,ID2,ID7,ID2,ID7	chr13L[1-2]:ID7,ID2,ID7,ID2,ID7(circ x2.5 strong)	unique donor by IDs	chr13L	0.66
SRR33298449.274261	chr10R	ID7,ID2,ID7,ID2	ID7,ID2,ID7,ID2	chr13L[1-4]:ID7,ID2,ID7,ID2	unique donor by IDs	chr14L	0.3559
SRR33298449.261135	chr11L	ID7,ID2	ID7,ID2	chr13L[1]:ID7 > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	unique donor by IDs	chr13L	0.44
SRR33298449.12734	chr12L	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2,ID2,ID2	chr4R[3-4]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x3.5 moderate)	unique donor by IDs	chr4R	0.66
SRR33298449.399655	chr12L	ID3,ID2,ID2,ID2,ID2,ID2,ID2	ID3,ID2,ID2,ID2,ID2,ID2,ID2	chr14L[3]:ID3 > chr12R|chr13L|chr14L|chr4R:ID2,ID2,ID2,ID2,ID2,ID2(circ x6.0)	unique donor by IDs	chr14L	0.44
SRR33298449.504907	chr12L	ID3,ID3,ID3,ID3,ID3,ID3	ID3,ID3,ID3,ID3,ID3,ID3	chr14L[3-4]:ID3,ID3,ID3,ID3,ID3,ID3(circ x3.0 strong)	unique donor by IDs	chr14L	0.66
SRR33298449.564822	chr12L	ID1,ID2,ID2	ID2,ID2	chr13L?[2]:ID2 > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	unresolved	chr12R	0.33
SRR33298449.512920	chr12L	ID1,ID2,ID2	ID2,ID2	chr4R[1-2]:ID2,ID2	unique donor by IDs+ITS	chr4R	0.33
SRR33298449.75975	chr12L	ID1,ID2,ID2	ID2,ID2	chr4R[1-2]:ID2,ID2	unique donor by IDs+ITS	chr4R	0.33
SRR33298449.482201	chr12L	ID1,ID2,ID2	ID2,ID2	chr4R[1-2]:ID2,ID2	unique donor by IDs+ITS	chr4R	0.33
SRR33298449.341832	chr12L	ID1,ID7,ID2	ID7,ID2	chr13L[1-2]:ID7,ID2	unique donor by IDs	chr13L	0.44
SRR33298449.369151	chr12L	ID1,ID7,ID2	ID7,ID2	chr13L[1-2]:ID7,ID2	unique donor by IDs	chr13L	0.44
SRR33298449.100701	chr12R	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2	chr13L?[2]:ID2,ID2,ID2(circ x3.0 moderate)	self (tandem amplification)	chr12R	0.33
SRR33298449.66366	chr12R	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2	self[2-4]:ID2,ID2,ID2	self (tandem amplification)	chr12R	0.33
SRR33298449.318168	chr12R	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID3,ID3	ID2,ID3,ID3	chr13L?[2]:ID2 > chr14L[3-4]:ID3,ID3	unique donor by IDs	chr14L	0.66
SRR33298449.22248	chr13L	ID7,ID2,ID7,ID2,ID2,ID7,ID2,ID2,ID2,ID2,ID2	ID2,ID7,ID2,ID2,ID2,ID2,ID2	self[2-4]:ID2,ID7,ID2 > self[2]:ID2,ID2,ID2,ID2(circ x4.0 moderate)	self (tandem amplification)	chr13L	0.33
SRR33298449.331456	chr13L	ID7,ID2,ID7,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2	chr14L?[2]:ID2 > self[2]:ID2,ID2,ID2(circ x3.0 moderate)	self (tandem amplification)	chr13L	0.33
SRR33298449.399579	chr13L	ID7,ID2,ID7,ID2,ID7,ID7,ID2,ID7	ID7,ID7,ID2,ID7	self[1-3]:ID7,ID7,ID2,ID7(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	self (tandem amplification)	chr13L	0.33
SRR33298449.131849	chr13L	ID7,ID2,ID7,ID2,ID7,ID2,ID7	ID7,ID2,ID7	self[1-3]:ID7,ID2,ID7	self (tandem amplification)	chr13L	0.33
SRR33298449.552456	chr13L	ID7,ID2,ID7,ID2,ID2,ID7	ID2,ID7	self[2-3]:ID2,ID7	self (tandem amplification)	chr13L	0.33
SRR33298449.66188	chr13L	ID7,ID2,ID7,ID2,ID7,ID2	ID7,ID2	self[1-2]:ID7,ID2	self (tandem amplification)	chr13L	0.33
SRR33298449.174558	chr13L	ID7,ID2,ID7,ID2,ID7,ID2	ID7,ID2	self[1-2]:ID7,ID2	self (tandem amplification)	chr13L	0.33
SRR33298449.64948	chr13L	ID7,ID2,ID2,ID2,ID2	ID2,ID2,ID2	chr12R|chr4R:ID2,ID2,ID2	unresolved	chr4R	0.33
SRR33298449.567764	chr13L	ID7,ID2,ID2,ID2	ID2,ID2	chr12R|chr4R:ID2,ID2	unresolved	chr12R	0.33
SRR33298449.257989	chr13L	ID7,ID2,ID3,ID3	ID3,ID3	chr14L[3-4]:ID3,ID3	unique donor by IDs	chr14L	0.44
SRR33298449.389750	chr14L	ID5,ID2,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3	ID3,ID3,ID3,ID3,ID3,ID3,ID3	self[3]:ID3,ID3,ID3,ID3,ID3,ID3,ID3(circ x7.0 strong)	self (tandem amplification)	chr14L	0.33
SRR33298449.353063	chr14L	ID5,ID2,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3	ID3,ID3,ID3,ID3,ID3	self[3]:ID3,ID3,ID3,ID3,ID3(circ x5.0 moderate | alt chr14L[3-5] + chr14L[3-4])	self (tandem amplification)	chr14L	0.33
SRR33298449.278119	chr14L	ID5,ID2,ID5,ID5,ID2,ID5,ID5,ID2	ID5,ID5,ID2,ID5,ID5,ID2	self[1]:ID5 > self[1-2]:ID5,ID2,ID5(circ x1.5 moderate | alt chr14L[1-2] + chr14L[1]) > self[1-2]:ID5,ID2	self (tandem amplification)	chr14L	0.33
SRR33298449.568949	chr14L	ID5,ID2,ID3,ID3,ID3,ID3,ID3,ID3	ID3,ID3,ID3	self[3-5]:ID3,ID3,ID3	self (tandem amplification)	chr14L	0.33
